filename,timestamp_s
20190228T143529+1000_SEQP-Samford-Wet-B_613311.flac,0
20190919T100754+1000_SEQP-Samford-Wet-B_252168.flac,0
20200826T000000+1000_Bowra-Wet-A_445766.flac,0
20190813T144130+1000_Bowra-Dry-B_6557.flac,0
20190813T105800+1000_Bowra-Wet-B_7310.flac,0
20190820T200000+1000_Bowra-Wet-B_7093.flac,0
20200318T095728+1030_Katarapko-Dry-A_295921.flac,0
20200318T093627+1030_Katarapko-Wet-A_300078.flac,0
20200318T104530+1030_Katarapko-Dry-B_304213.flac,0
20200719T000000+0930_Katarapko-Wet-B_310713.flac,0
20190911T114600+1000_Five-Rivers-Dry-A_80903.flac,0
20190911T114936+1000_Five-Rivers-Dry-A_80905.flac,0
20190911T123819+1000_Five-Rivers-Dry-B_82913.flac,0
20210209T151730+1100_Five-Rivers-Dry-B_909812.flac,0
20190911T135800+1000_Five-Rivers-Wet-A_84909.flac,0
20200714T095724+0930_Kalamurina-Dry-A_572483.flac,0
20200907T180000+0930_Kalamurina-Dry-A_573158.flac,0
20200909T160000+0930_Kalamurina-Dry-A_573180.flac,0
20200714T092000+0930_Kalamurina-Wet-A_578069.flac,0
20200714T092743+0930_Kalamurina-Wet-A_578080.flac,0
20200331T172210+1030_Arkaba-Dry-A_48465.flac,0
20191105T131348+1030_Arkaba-Wet-B_169097.flac,0
20191105T131621+1030_Arkaba-Wet-B_169098.flac,0
20201030T142646+1030_Arkaba-Wet-B_53069.flac,0
20200630T143230+0930_Newhaven-Wet-A_72707.flac,0
20200630T143332+0930_Newhaven-Wet-A_72708.flac,0
20200630T151230+0930_Newhaven-Wet-B_74762.flac,0
20200630T162348+0930_Newhaven-Dry-B_76814.flac,0
20210502T040000+0930_Newhaven-Dry-A_79468.flac,0
20191113T163200+1100_Little-Desert-Nature-Lodge-Wet-A_19015.flac,0
20191113T161225+1100_Little-Desert-Nature-Lodge-Dry-A_22541.flac,0
20191113T155300+1100_Little-Desert-Nature-Lodge-Dry-B_28369.flac,0
20190919T135630+1000_Cape-Barren-Island-Dry-A_88635.flac,0
20200728T135234+1000_Cape-Barren-Island-Dry-A_810332.flac,0
20190919T141732+1000_Cape-Barren-Island-Dry-B_91359.flac,0
20200728T132648+1000_Cape-Barren-Island-Dry-B_816496.flac,0
20190919T101551+1000_Cape-Barren-Island-Wet-A_94150.flac,0
20211008T113800+1100_Cape-Barren-Island-Wet-A_824750.flac,0
20200728T111825+1000_Cape-Barren-Island-Wet-B_818038.flac,0
20200605T200000+1000_Booroopki-Wet-B_279670.flac,0
20190619T154920+0930_Sturt-National-Park-Dry-A_508605.flac,0
20190622T141730+0930_Sturt-National-Park-Dry-A_505864.flac,0
20190628T153000+0930_Sturt-National-Park-Dry-A_505942.flac,0
20200712T101500+0930_Sturt-National-Park-Dry-A_508650.flac,0
20200712T101620+0930_Sturt-National-Park-Dry-A_508651.flac,0
20190621T154248+0930_Sturt-National-Park-Wet-A_359414.flac,0
20190630T013925Z_Toorale-National-Park-Dry-A_353483.flac,0
20200714T235336Z_Toorale-National-Park-Dry-B_725977.flac,0
20200714T235554Z_Toorale-National-Park-Dry-B_725981.flac,0
20190630T031318Z_Toorale-National-Park-Wet-B_356336.flac,0
20200716T153531+1000_Binya-Wet-B_670094.flac,0
